mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
11.168535852432251,1.154319303313596,0.034129095077514646,0.0046222746332831785,"(270, 180, 110, 100)",tanh,"{'hidden_layer_sizes': (270, 180, 110, 100), 'activation': 'tanh'}",-0.009061117667046367,-0.007227175906877614,-0.009110382013469864,-0.0072435464732616105,-0.009324157196475414,-0.008393275851426173,0.0009495747196069845,30,-0.00798343141900524,-0.006689541122784793,-0.009128822532898583,-0.0068882783438686925,-0.007894684954196677,-0.007716951674550797,0.0008761565869653434
21.037158966064453,5.224028153487748,0.05165033340454102,0.004255761583033207,"(280, 270, 280, 200)",tanh,"{'hidden_layer_sizes': (280, 270, 280, 200), 'activation': 'tanh'}",-0.008510808109991472,-0.010472756054913698,-0.01180270002115713,-0.0070417636723349,-0.007843730264899988,-0.009134351624659438,0.0017518472496871208,38,-0.007460278528336202,-0.009544900838400275,-0.01144972719734844,-0.006228481498828755,-0.0070858032037852715,-0.008353838253339787,0.0018934973798851085
13.972813749313355,3.32651730546775,0.024627161026000977,0.010152021962065529,"(270, 280, 160, 100)",relu,"{'hidden_layer_sizes': (270, 280, 160, 100), 'activation': 'relu'}",-0.006050495858174052,-0.0041781000236839165,-0.005428835380218489,-0.006089221717133175,-0.005848958628022631,-0.005519122321446452,0.0007103035520796994,3,-0.0046688074343877685,-0.0036049142525079315,-0.004972360699036624,-0.005559903699624884,-0.0048660286266007085,-0.004734402942431583,0.00063803576484852
16.08592643737793,2.4763684835168465,0.02034764289855957,0.0013521462991544497,"(290, 220, 280, 140)",relu,"{'hidden_layer_sizes': (290, 220, 280, 140), 'activation': 'relu'}",-0.007665143193836842,-0.006313661679783444,-0.005559498543611787,-0.005259860973927357,-0.005524259288357921,-0.00606448473590347,0.0008738959474940523,12,-0.0060123681150300225,-0.005355634881483975,-0.005302967001887815,-0.004543812887181685,-0.004468754199650575,-0.0051367074170468145,0.0005727195764774949
14.695284938812256,3.4707028553412003,0.04215493202209473,0.005665827536893711,"(160, 290, 260, 110)",tanh,"{'hidden_layer_sizes': (160, 290, 260, 110), 'activation': 'tanh'}",-0.00992136709211679,-0.008863403499957396,-0.009047833746630981,-0.00624627551516959,-0.009883049894444202,-0.008792385949663792,0.0013429163543961919,36,-0.009197699204698793,-0.008126989642390427,-0.008785028789244597,-0.0059206141850499045,-0.008735133836543472,-0.008153093131585439,0.0011673867863315074
6.425218677520752,1.37162742594844,0.016143798828125,0.0038849803336619185,"(130, 180, 130, 240)",relu,"{'hidden_layer_sizes': (130, 180, 130, 240), 'activation': 'relu'}",-0.007022974922646526,-0.009505809330905108,-0.006631640744048495,-0.006410400359626283,-0.008011818044249495,-0.007516528680295181,0.0011360185644721783,26,-0.006311725192651895,-0.008714672427667557,-0.006072023779521996,-0.0055644774507685535,-0.006208820049731468,-0.006574343780068294,0.0011005215332406894
14.108791542053222,3.4674520108824862,0.03928971290588379,0.004955404321083409,"(220, 190, 280, 110)",tanh,"{'hidden_layer_sizes': (220, 190, 280, 110), 'activation': 'tanh'}",-0.00876116662048359,-0.008566647663848948,-0.01075286973482311,-0.00926675823200277,-0.008905779361471853,-0.009250644322526055,0.0007852786179020558,40,-0.008152047724618687,-0.007936903183217553,-0.010520199088442825,-0.009408188489049644,-0.007626981779473204,-0.008728864052960384,0.0010811499932280963
20.131724643707276,4.3950625318771905,0.028630542755126952,0.004764639470126836,"(150, 290, 300, 240)",relu,"{'hidden_layer_sizes': (150, 290, 300, 240), 'activation': 'relu'}",-0.005232296067045404,-0.00678797569658225,-0.005215123234626183,-0.00471144649481953,-0.005769602474576094,-0.005543288793529892,0.0007066589118888023,4,-0.004098571488157071,-0.005937016834584779,-0.004731148646934129,-0.003977534462095642,-0.004812283275490975,-0.004711310941452518,0.0006966809086721521
10.942742013931275,2.1132161078737774,0.030118703842163086,0.0034221790876000544,"(150, 160, 130, 240)",tanh,"{'hidden_layer_sizes': (150, 160, 130, 240), 'activation': 'tanh'}",-0.008552308177849874,-0.007441497936720481,-0.009283077910196075,-0.008911053169035621,-0.015527916420368488,-0.009943170722834106,0.002859483835243895,44,-0.007613787648008112,-0.00690364268147994,-0.009127137595542737,-0.008981917354150812,-0.013313810806726403,-0.009188059217181601,0.0022255301378504636
25.5399489402771,2.452848708366484,0.047519254684448245,0.005816426673063228,"(210, 230, 280, 220)",tanh,"{'hidden_layer_sizes': (210, 230, 280, 220), 'activation': 'tanh'}",-0.0070586488693300704,-0.006486207853199887,-0.007113498984671987,-0.008473757329880226,-0.008676141302834783,-0.007561650867983391,0.0008584236630499687,27,-0.006268016240042684,-0.005990426030449243,-0.006817439630014891,-0.008277012296285139,-0.007540701500569427,-0.006978719139472277,0.0008377615718069545
