,theta_1,theta_2,theta_3,theta_4,theta_5,p_x,p_y,p_z,Roll,Pich,Yaw
2923,55,72,84,12,0,23.6135469205937,33.7236399667573,23.3766068585931,3.141592653589793,-1.5707963267948966,0.9599310885968811
2924,55,72,84,36,0,22.7209577309828,32.4488904947749,30.6978664339575,0.0,-1.1519173063162573,-2.181661564992912
2925,55,72,84,48,0,21.6417665887332,30.9076458160774,33.9567413998576,0.0,-0.9424777960769379,-2.1816615649929116
2926,55,72,84,60,0,20.197526941952,28.8450578432689,36.7532137171862,0.0,-0.7330382858376185,-2.1816615649929125
2927,55,72,96,0,0,22.0539809247147,31.4963488983599,12.476498142584,3.141592653589793,-1.1519173063162573,0.9599310885968814
2928,55,72,96,12,0,22.7209577309828,32.4488904947749,16.0553472832287,3.141592653589793,-1.3613568165555765,0.9599310885968827
2929,55,72,96,36,0,22.7209577309828,32.4488904947749,23.540168152668,0.0,-1.3613568165555774,-2.1816615649929134
2930,55,72,96,60,0,20.9747897824651,29.9551042196624,30.3778922592129,0.0,-0.9424777960769386,-2.1816615649929116
2931,55,72,108,0,0,19.8955986402155,28.4138595409649,5.95874821078373,3.141592653589793,-0.9424777960769379,0.9599310885968815
2932,55,72,108,12,0,20.9747897824651,29.9551042196624,9.21762317668384,3.141592653589793,-1.1519173063162573,0.9599310885968814
2933,55,72,120,0,0,17.0071193466531,24.2886835953479,0.365803576126575,3.141592653589793,-0.7330382858376185,0.9599310885968807
2934,55,72,120,12,0,18.4513589934343,26.3512715681564,3.16227589345516,3.141592653589793,-0.9424777960769379,0.9599310885968815
2935,55,72,120,120,0,13.2891710662749,18.9789031695555,30.8614277280324,0.0,-0.3141592653589798,-2.181661564992912
2936,55,84,24,0,0,11.4035669965684,16.2859814758994,59.0783086528687,0.0,-0.5235987755982991,-2.181661564992912
2937,55,84,24,12,0,9.43178666470791,13.4699873252195,60.6088686780616,0.0,-0.3141592653589788,-2.181661564992912
2938,55,84,36,0,0,14.8959028936038,21.2735540261244,54.6546078338151,0.0,-0.7330382858376185,-2.1816615649929125
2939,55,84,36,12,0,13.1497349450861,18.7797677510119,56.8664582433419,0.0,-0.5235987755982987,-2.1816615649929116
2940,55,84,48,0,0,17.7843821871662,25.3987299717414,49.0616631991579,0.0,-0.9424777960769379,-2.1816615649929116
2941,55,84,48,12,0,16.340142540385,23.3361419989329,51.8581355164865,0.0,-0.7330382858376185,-2.1816615649929125
2942,55,84,60,0,0,19.9427644716654,28.4812193291365,42.5439132673577,0.0,-1.1519173063162573,-2.181661564992912
2943,55,84,60,12,0,18.8635733294158,26.9399746504389,45.8027882332578,0.0,-0.9424777960769379,-2.1816615649929116
2944,55,84,72,0,0,21.2767180842016,30.3863025219664,35.3862149860683,0.0,-1.3613568165555774,-2.1816615649929134
2945,55,84,72,12,0,20.6097412779335,29.4337609255514,38.965064126713,0.0,-1.1519173063162573,-2.181661564992912
2946,55,84,72,36,0,18.0863104889027,25.8299282740454,45.0204114099417,0.0,-0.7330382858376185,-2.1816615649929125
2947,55,84,72,48,0,16.340142540385,23.3361419989329,47.2322618194685,0.0,-0.5235987755982987,-2.1816615649929116
2948,55,84,72,60,0,14.3683622085245,20.520147848253,48.7628218446614,0.0,-0.3141592653589798,-2.181661564992912
2949,55,84,84,0,0,21.7279428508873,31.0307182731012,27.9013941166289,3.141592653589793,-1.5707963267948966,0.959931088596881
2950,55,84,84,12,0,21.5023304675444,30.7085103975338,31.6438045513486,0.0,-1.3613568165555774,-2.1816615649929134
2951,55,84,84,36,0,19.7561625190267,28.2147241224213,38.4815286578934,0.0,-0.9424777960769379,-2.1816615649929116
