theta_1,theta_2,theta_3,theta_4
90,36,60,12
0,120,0,84
75,120,12,0
80,96,120,120
105,108,96,60
100,120,24,72
85,60,24,0
45,72,84,12
115,108,72,12
45,96,60,12
55,72,120,120
45,120,72,0
25,48,60,0
75,72,84,48
105,72,60,12
20,120,12,96
120,72,36,96
25,48,24,0
55,48,72,48
65,48,72,60
15,96,36,12
70,96,120,108
60,96,84,0
115,120,84,12
115,96,96,0
90,84,72,48
65,96,72,36
65,24,72,36
120,84,120,120
5,60,24,12
20,120,0,12
120,96,120,108
100,108,60,0
85,60,72,36
65,108,60,0
110,108,36,84
75,96,72,12
65,24,24,0
65,84,84,48
75,60,36,12
105,108,72,12
30,36,60,12
40,96,36,0
115,120,0,84
0,84,60,0
50,84,108,12
20,120,72,12
0,120,48,108
80,120,12,60
115,48,72,12
80,24,12,0
120,96,108,12
120,24,12,0
30,72,84,36
50,108,84,48
95,24,24,0
10,12,24,12
45,60,96,60
95,60,84,36
120,108,36,96
0,120,12,36
95,72,108,12
95,36,72,48
15,84,96,0
65,108,84,36
95,108,84,12
25,108,108,0
15,108,48,0
75,72,96,12
15,120,0,24
75,96,120,108
40,60,96,0
40,60,36,0
20,24,72,60
105,36,72,48
90,108,108,0
80,84,0,120
5,60,24,0
15,120,72,108
95,48,84,60
65,60,48,12
30,48,60,0
80,36,96,60
35,84,108,0
105,96,72,36
110,24,12,0
105,108,108,12
45,36,24,0
40,60,72,60
95,120,24,60
95,60,96,60
50,120,72,96
45,120,12,0
35,120,72,12
75,108,0,120
45,108,84,12
115,60,24,12
15,48,72,0
45,48,24,12
75,60,24,12
15,60,48,12
5,48,96,36
55,120,12,36
80,84,24,12
35,24,72,36
105,84,72,0
75,108,12,84
15,60,36,12
20,120,48,60
105,108,24,84
65,108,72,12
45,96,12,84
5,120,36,108
80,120,60,120
70,120,108,48
45,120,12,36
45,48,72,60
20,108,36,84
105,84,72,60
20,96,72,60
105,48,84,12
45,120,108,12
15,120,0,120
90,96,84,0
40,108,84,48
90,72,120,12
85,120,36,60
35,84,96,36
35,72,96,60
10,120,0,24
105,120,24,72
120,12,60,48
115,60,84,0
55,96,72,12
0,120,12,120
90,96,12,84
100,60,12,0
65,84,60,0
90,120,24,84
45,120,72,12
60,48,60,12
5,72,72,60
30,72,96,60
40,72,12,0
90,48,48,12
5,48,72,48
35,120,48,72
75,84,72,0
5,12,24,0
65,120,60,108
85,24,12,0
5,120,60,96
0,72,96,60
40,72,72,60
10,24,36,0
10,108,12,120
35,120,24,120
50,96,84,36
55,48,24,0
55,36,48,0
55,72,24,12
55,72,96,60
60,84,0,120
60,108,72,12
40,120,36,60
65,72,84,0
70,36,60,12
40,12,36,12
65,120,0,48
110,96,60,12
40,12,12,0
70,120,0,0
20,108,84,12
50,120,36,120
90,108,12,84
20,60,96,36
90,60,96,12
120,60,48,0
15,84,60,12
85,84,84,48
0,120,12,12
100,120,36,36
35,24,72,48
85,108,60,0
35,60,48,12
75,120,0,60
25,120,24,120
20,72,84,48
60,108,60,12
40,84,72,12
90,60,84,0
105,120,72,12
20,72,120,0
60,96,12,84
85,96,72,60
70,120,12,60
25,120,36,84
90,12,24,0
5,120,24,12
100,120,24,84
55,72,108,0
30,120,12,60
65,108,96,60
35,120,48,48
60,72,120,12
75,120,48,72
0,84,120,0
115,120,0,96
65,96,72,48
60,48,72,48
95,72,36,12
110,48,60,0
5,84,84,12
55,24,24,12
10,48,24,0
75,120,24,0
75,12,36,12
40,108,24,84
85,60,84,48
80,120,12,12
0,108,12,72
25,36,72,48
85,12,60,48
45,96,120,108
110,120,48,48
120,60,84,48
110,96,120,12
60,48,72,0
5,96,84,0
105,120,72,108
65,24,48,0
25,120,0,0
30,108,108,12
110,120,96,0
45,84,96,36
40,72,96,60
15,60,36,0
15,72,36,12
10,36,12,0
105,108,12,48
90,120,12,0
110,108,84,36
10,72,84,36
110,108,96,0
120,60,60,12
115,72,24,0
20,120,0,108
105,84,60,0
5,120,0,120
20,48,72,48
90,36,36,0
30,120,48,96
100,96,84,12
90,36,84,36
70,36,84,60
15,96,12,72
60,120,72,96
0,84,84,0
50,120,24,108
45,48,108,36
50,120,60,108
15,84,72,60
20,48,84,0
40,48,48,12
15,120,24,84
35,84,84,60
0,60,96,0
100,120,96,48
30,108,72,0
30,96,72,36
95,120,24,108
110,120,24,72
120,60,72,60
20,120,108,60
35,120,12,12
45,108,12,72
5,36,72,36
105,24,36,0
55,36,48,12
15,120,24,72
115,120,108,12
40,84,72,48
0,120,36,48
55,60,84,36
45,120,0,72
30,48,72,36
20,84,36,0
0,84,12,0
55,120,48,72
25,72,84,36
70,60,96,12
65,48,84,60
105,60,24,0
30,84,96,0
75,96,36,12
20,96,108,0
0,84,48,12
30,24,96,72
70,60,36,0
20,96,12,84
70,60,72,36
65,72,120,0
85,96,60,12
