mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
9.736885070800781,0.6973416805267334,0.0030003786087036133,3.5762786865234375e-07,"(280, 300)",relu,"{'hidden_layer_sizes': (280, 300), 'activation': 'relu'}",-0.005848449112296138,-0.005741711180146663,-0.005795080146221401,5.336896607473739e-05,233,-0.005468091467509823,-0.004758915610454074,-0.005113503538981949,0.00035458792852787434
7.880535006523132,1.1719244718551636,0.00293123722076416,4.756450653076172e-05,"(320, 160)",relu,"{'hidden_layer_sizes': (320, 160), 'activation': 'relu'}",-0.005731281276513777,-0.0068087706148271965,-0.006270025945670487,0.0005387446691567099,311,-0.004892927038414007,-0.006027524023056705,-0.005460225530735356,0.000567298492321349
11.173520684242249,0.772271990776062,0.011429667472839355,0.002581954002380371,"(150, 100, 100, 250)",tanh,"{'hidden_layer_sizes': (150, 100, 100, 250), 'activation': 'tanh'}",-0.011379547182908704,-0.012579747061372111,-0.011979647122140408,0.0006000999392317035,1044,-0.011335321217039484,-0.011331475927738342,-0.011333398572388912,1.922644650571327e-06
16.962578892707825,2.3875280618667603,0.023146510124206543,0.00900566577911377,"(300, 150, 250, 200)",tanh,"{'hidden_layer_sizes': (300, 150, 250, 200), 'activation': 'tanh'}",-0.0074999679636582415,-0.006935795284801559,-0.0072178816242299,0.0002820863394283413,459,-0.007100590885334207,-0.0057108479888388465,-0.006405719437086527,0.0006948714482476804
3.8859435319900513,0.37397706508636475,0.0009938478469848633,3.063678741455078e-05,"(130, 130)",relu,"{'hidden_layer_sizes': (130, 130), 'activation': 'relu'}",-0.005927429029031917,-0.0066673048494950435,-0.00629736693926348,0.00036993791023156317,317,-0.005359277750538741,-0.005843981687969842,-0.005601629719254292,0.0002423519687155505
6.023130297660828,0.7443329095840454,0.0015028715133666992,0.0005193948745727539,"(160, 230)",relu,"{'hidden_layer_sizes': (160, 230), 'activation': 'relu'}",-0.006323551981164828,-0.00674745129828584,-0.006535501639725334,0.00021194965856050595,355,-0.005737997567714856,-0.005633157213324622,-0.005685577390519739,5.242017719511716e-05
7.57105815410614,0.8983949422836304,0.0025049448013305664,0.0005048513412475586,"(240, 210)",relu,"{'hidden_layer_sizes': (240, 210), 'activation': 'relu'}",-0.006400210341918655,-0.007849459084565129,-0.007124834713241892,0.000724624371323237,450,-0.005706068720244381,-0.007162322571396892,-0.006434195645820637,0.0007281269255762553
7.703687906265259,0.8996250629425049,0.010269761085510254,0.005336880683898926,"(150, 150, 150, 100)",tanh,"{'hidden_layer_sizes': (150, 150, 150, 100), 'activation': 'tanh'}",-0.009476834091876371,-0.008259250430072772,-0.008868042260974571,0.0006087918309017996,663,-0.008556834985386605,-0.007215961189307977,-0.007886398087347292,0.0006704368980393139
18.07518458366394,1.9047536849975586,0.021116137504577637,0.0030440092086791992,"(350, 350)",tanh,"{'hidden_layer_sizes': (350, 350), 'activation': 'tanh'}",-0.010700489024045337,-0.016527543655944558,-0.013614016339994948,0.00291352731594961,1110,-0.01001070083250005,-0.01569319457019426,-0.012851947701347156,0.002841246868847105
44.797210335731506,7.102687954902649,0.010498523712158203,0.004500627517700195,"(915,)",tanh,"{'hidden_layer_sizes': (915,), 'activation': 'tanh'}",-0.03738264376001519,-0.031159134166952665,-0.03427088896348393,0.0031117547965312624,1197,-0.03769701385525064,-0.029265429291160255,-0.03348122157320545,0.004215792282045194
