theta_1,theta_2,theta_3,theta_4
65,36,48,0
110,72,120,120
85,108,108,0
90,12,60,48
115,48,72,48
85,84,72,0
110,48,108,36
75,36,72,60
120,36,84,60
65,60,84,12
75,96,108,12
75,36,36,12
100,96,84,0
120,72,96,36
115,60,60,0
90,48,60,12
85,36,36,12
90,36,24,0
80,36,96,60
100,60,60,0
120,0,12,0
70,72,84,36
85,60,60,12
120,48,84,12
85,72,60,0
90,60,96,12
85,84,120,12
120,24,36,0
85,36,84,48
85,60,84,0
95,36,72,36
95,72,120,12
120,36,60,12
120,96,120,12
85,36,72,36
70,48,48,0
100,72,96,0
100,72,84,12
100,60,72,60
65,48,72,0
95,60,96,12
90,36,36,0
115,60,60,12
100,120,120,12
120,24,96,72
120,36,48,12
100,36,24,12
120,48,36,12
100,72,72,0
100,36,96,60
110,36,72,12
70,84,120,12
80,72,84,12
85,24,96,72
95,60,48,12
100,24,96,72
90,60,96,36
95,12,24,12
110,36,12,0
110,72,96,36
95,60,36,0
110,60,60,12
90,48,72,60
75,36,60,12
70,72,96,36
75,48,96,36
95,84,84,12
120,60,72,48
95,48,108,36
80,36,60,0
100,48,108,36
120,36,72,60
95,48,84,60
65,72,108,12
70,84,96,0
115,36,36,0
85,84,120,0
115,48,24,0
100,60,72,12
110,48,96,36
110,60,36,0
95,48,96,36
105,24,48,0
70,72,72,0
115,24,48,12
65,48,48,0
110,72,96,0
80,96,96,0
100,60,84,36
80,60,72,0
105,60,60,0
100,60,96,36
120,108,120,12
90,48,48,12
110,60,108,12
110,36,48,0
95,72,108,0
120,84,72,12
105,36,72,60
85,24,48,0
100,24,84,60
80,84,96,12
110,48,84,12
85,24,24,0
75,72,120,12
120,60,84,36
100,108,108,0
70,60,84,36
95,72,84,0
75,48,72,36
110,96,96,0
75,36,48,12
95,60,72,0
110,84,96,0
90,36,60,0
65,96,108,0
95,96,96,0
95,48,84,12
80,36,48,12
65,48,84,12
70,24,48,0
120,48,72,48
75,48,48,0
85,60,96,36
120,72,96,12
90,60,84,48
95,120,120,0
90,60,72,60
105,84,108,12
90,24,48,12
105,48,24,12
100,60,84,12
80,120,120,0
110,84,84,0
100,72,96,36
90,72,84,36
95,60,84,12
105,36,48,0
75,84,120,12
90,84,120,0
90,108,108,12
100,96,108,12
105,72,84,12
85,24,48,12
100,24,72,60
115,72,96,12
70,48,48,12
115,60,72,0
100,12,36,12
120,72,84,36
85,36,72,12
120,48,108,36
110,48,36,12
110,12,24,12
110,48,72,0
90,24,24,0
95,36,84,36
100,108,108,12
100,0,12,0
70,72,108,12
65,72,96,36
80,72,108,12
110,12,60,48
90,84,84,0
65,84,120,0
75,60,72,48
85,60,108,12
80,72,72,12
65,48,84,0
90,36,84,60
110,48,60,0
70,60,48,0
90,60,48,12
85,72,108,12
70,60,96,60
120,108,120,0
110,48,36,0
115,48,48,12
105,36,12,0
120,60,96,12
95,84,96,36
105,60,72,0
75,48,48,12
85,12,60,48
80,24,72,48
120,24,72,48
90,48,36,12
65,24,12,0
115,48,72,60
65,60,84,36
70,48,96,60
85,48,84,0
115,24,24,12
70,12,12,0
80,60,96,0
115,0,12,0
70,36,12,0
85,84,84,0
85,12,24,0
115,24,24,0
70,36,72,12
100,24,36,12
95,36,84,60
75,36,84,60
90,48,96,60
115,84,120,0
105,120,108,0
90,24,84,60
70,48,84,36
100,72,84,60
95,36,36,0
90,72,60,12
95,36,12,0
80,36,84,48
105,48,96,36
95,36,60,0
120,48,24,12
80,24,48,0
95,72,72,36
80,24,72,36
100,60,48,12
65,48,84,60
110,36,84,60
105,24,96,72
120,96,84,0
75,48,72,0
75,84,120,0
70,48,84,0
75,60,72,12
105,36,60,0
70,60,108,12
110,36,84,36
95,48,36,12
100,84,84,12
105,84,120,0
70,72,108,0
110,84,120,12
100,48,72,36
80,60,72,36
110,0,12,0
95,60,72,12
110,24,36,0
80,48,48,12
105,84,108,0
95,48,72,36
75,60,60,12
115,48,72,0
115,60,84,36
75,48,72,48
115,24,84,60
120,72,72,12
105,48,72,0
105,24,36,0
105,84,96,36
85,36,84,60
100,48,36,0
65,84,120,12
75,36,72,48
100,48,72,60
120,120,120,0
85,36,60,0
75,48,36,0
75,36,96,60
90,72,96,60
105,48,84,0
115,48,60,12
80,60,84,36
65,72,72,0
85,48,84,36
120,48,72,36
80,36,72,48
95,36,36,12
115,60,108,12
70,48,72,60
70,36,72,36
80,72,96,36
105,120,120,0
70,24,24,12
70,12,24,0
105,36,48,12
100,120,120,0
110,108,120,0
120,72,84,0
70,24,72,60
115,48,84,12
70,24,96,72
110,36,96,60
90,48,84,0
110,84,84,36
120,72,84,12
120,84,120,12
75,36,84,36
70,48,96,36
85,24,24,12
110,60,72,60
95,72,96,36
105,60,96,60
65,48,96,36
90,12,24,12
75,12,36,12
80,120,120,12
110,36,60,0
100,36,60,0
70,72,96,0
95,60,84,0
85,48,84,12
85,48,72,36
105,60,72,36
85,36,72,48
90,36,96,60
90,48,84,60
75,12,24,12
120,12,12,0
110,36,24,0
110,36,72,60
90,60,48,0
